"Nome Produto";"Nº Produto";"Produto Ativo";"Cód. Produto";Fabricante;"Categoria de Produto";Fornecedor;"Sub Categoria";"Cód. Fornecedor";Website;"Ficha do Produto";"Cód. Fabricante";"Plano de Contas";"Data Criação";"Criado Por";"Data Modificação";"Última Edição";"Comprimento (mm)";"Largura (mm)";"Espessura (mm)";"Preço Unitário";"Preço Custo";"Categoria de Impostos";"Comissão %";"Unidade Utilizada";"Qtd. Uni";"Qtd. Stock";"Nível Reabastecimento";Responsável;"Qtd. Última Compra";"Imagem Produto";Descrição;"Detalhe "
"Placa A5 c/tripe Fna";PRO0013;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"26-01-2024 13:43:13";admin;"23-05-2026 17:29:57";marcop;0;;;3.5;;;0;Each;1.00;999978.000;0;admin;0;FNA-c-tripe.png;;
"Placa A4 c/tripe Fna";PRO0014;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"26-01-2024 13:43:29";admin;"07-08-2025 16:20:12";marcop;0;;;4;;;0;Each;1.00;999983.000;0;admin;0;;;
"Placa A6 c/tripe Fna";PRO0015;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"26-01-2024 13:43:44";admin;"23-05-2026 17:29:53";marcop;0;;;2.5;;;0;Each;1.00;999870.000;0;admin;0;;;
"Identificadores de Animais Pequenos Osso";PRO0016;1;;"Fam Art";"Especial Patudos";;"Chapinhas Identificação";;;;;;"26-01-2024 13:48:07";admin;"08-11-2024 23:14:10";marcop;0;;;4;;;0;Each;1.00;999985.000;0;admin;0;chapinhas.png;"Formatos disponiveis:
<ul>
	<li><b>Osso</b></li>
	<li><b>Circulo</b></li>
	<li><b>Coração</b></li>
</ul>
Diversas cores disponiveis";
"Identificadores de Animais Media Osso";PRO0017;1;;"Fam Art";"Especial Patudos";;"Chapinhas Identificação";;;;;;"26-01-2024 13:48:53";admin;"17-01-2025 17:12:42";marcop;0;;;5.5;;;0;Each;1.00;999999.000;0;admin;0;chapinhas.png;"Formatos disponiveis:
<ul>
	<li><b>Osso</b></li>
	<li><b>Coração</b></li>
</ul>
Diversas cores disponiveis";
"Quadros Forma Coração";PRO0018;1;;"Fam Art";"Eventos Diversos";;"Dia da Mãe";;;;;;"26-01-2024 15:55:05";admin;"05-02-2024 15:38:35";marcop;0;;;15;;;0;Each;1.00;999984.000;0;admin;0;cor.png;;
"Suporte Velas Modelo 1";PRO0019;1;;"Fam Art";Outros;;Decoração;;;;;;"26-01-2024 15:55:40";admin;"05-02-2024 15:38:22";marcop;0;;;10;;;0;Each;1.00;999994.000;0;admin;0;suporte-Vela.png;;
"Bola de Natal Modelo 2";PRO0020;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"26-01-2024 15:56:08";admin;"23-12-2025 18:17:17";josep;0;;;2.55;;;0;Each;1.00;999970.000;0;admin;0;M2.png;;
"Milestones Geral";PRO0021;1;;"Fam Art";"Eventos Diversos";;Recém-nascidos;;;;;;"26-01-2024 16:13:51";admin;"13-06-2024 14:53:45";marcop;0;;;23;;;0;Each;1.00;999869.000;0;admin;0;etap.png;;"Vários modelos e cores disponiveis"
"Placa c/ Martelo";PRO0022;1;;"Fam Art";"Eventos Diversos";;"Dia dos Namorados";;;;;;"27-01-2024 10:01:58";admin;"14-10-2025 12:21:21";marcop;0;;;17;;;0;Each;1.00;999989.000;0;admin;0;Martelo.png;;
"Pulseira c/ 5 Trevos Brancos";PRO0026;1;;Imortalis;Joias;;Pulseiras;;;;;;"27-01-2024 22:10:11";admin;"03-10-2025 17:26:39";marcop;0;;;10.99;10.99;;0;Each;1.00;4.000;0;admin;0;IMG_4988.jpeg;;
"Pulseira c/ coração inox";PRO0027;1;;Imortalis;Joias;;Pulseiras;;;;;;"28-01-2024 15:48:25";admin;"09-06-2025 15:48:32";marcop;0;;;7.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4979.jpeg;;
"Pulseira Argola Dourado";PRO0028;1;;Imortalis;Joias;;Pulseiras;;;;;;"28-01-2024 15:50:24";admin;"13-02-2024 17:54:59";marcop;0;;;10.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4996.jpeg,IMG_4995.jpeg;;
"Pulseira Argola Prateado";PRO0029;1;;Imortalis;Joias;;Pulseiras;;;;;;"28-01-2024 15:51:18";admin;"13-02-2024 17:54:46";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4994.jpeg,IMG_4993.jpeg;;
"Broche Ananás";PRO0030;1;;Imortalis;Joias;;Acessórios;;;;;;"28-01-2024 15:53:46";admin;"04-02-2024 17:57:51";marcop;0;;;9.99;;;0;Each;1.00;1000000.000;0;admin;0;IMG_4999.jpeg;;
"Alfinete Gravata";PRO0031;1;;Imortalis;Joias;;Acessórios;;;;;;"28-01-2024 15:55:08";admin;"06-05-2024 19:17:23";marcop;0;;;10.99;;;0;Each;1.00;'-1.000;0;admin;0;IMG_5015.jpeg;;
"Brincos de argolas";PRO0032;1;;Imortalis;Joias;;Brincos;;;;;;"28-01-2024 15:56:28";admin;"13-02-2024 18:31:16";marcop;0;;;12.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4959.jpeg;;
"Brincos Trevo Brancos";PRO0033;1;;Imortalis;Joias;;Brincos;;;;;;"28-01-2024 17:30:06";admin;"01-05-2025 11:26:20";josep;0;;;10.99;;;0;Each;1.00;4.000;0;admin;0;IMG_4956.jpeg;;
"Brincos Standard Pérola Branca c/ Rebordo dourado";PRO0034;1;;Imortalis;Joias;;Brincos;;;;;;"28-01-2024 17:33:49";admin;"13-02-2024 18:20:41";marcop;0;;;4.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4968.jpeg;;
"Pulseira c/ 3 círculos 1 c/ Brilhantes Prateada";PRO0035;1;;Imortalis;Joias;;Pulseiras;;;;;;"28-01-2024 17:36:00";admin;"13-02-2024 17:53:35";marcop;0;;;7.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4982.jpeg;;
"Colar c/ trevos brancos duplo";PRO0036;1;;Imortalis;Joias;;Colares;;;;;;"28-01-2024 17:49:48";admin;"13-02-2024 18:02:10";marcop;0;;;15.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4949.jpeg;;
"Conjunto Colar e Brincos Redondos c/ Brilhantes";PRO0037;1;;Imortalis;Joias;;Conjuntos;;;;;;"28-01-2024 17:51:17";admin;"13-02-2024 18:06:47";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4932.jpeg;;
"Pulseira dourada c/ árvore da vida c/ brilhantes";PRO0038;1;;Imortalis;Joias;;Pulseiras;;;;;;"28-01-2024 17:53:28";admin;"13-02-2024 17:52:34";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4985.jpeg;;
"Conjunto Colar e Brincos olho turco c/ brilhantes dourado";PRO0039;1;;Imortalis;Joias;;Conjuntos;;;;;;"28-01-2024 17:54:57";admin;"13-02-2024 18:09:21";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4930.jpeg;;
"Conjunto Colar e Brincos Prateado c/ Trevo e Brilhantes";PRO0040;1;;Imortalis;Joias;;Conjuntos;;;;;;"28-01-2024 17:56:16";admin;"13-02-2024 18:09:02";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4938.jpeg;;
"Placa Padrinhos A4";PRO0041;1;;"Fam Art";Batizados;;Placas;;;;;;"30-01-2024 10:50:55";admin;"16-07-2024 16:08:33";marcop;230;270;3;10.99;;;0;Each;1.00;999993.000;0;admin;0;padrinhos.png;;
"Imans Vizela Gravados";PRO0042;1;;"Fam Art";Outros;;Iman;;;;;;"31-01-2024 12:10:35";admin;"03-02-2025 16:27:04";marcop;0;;;1.35;1.1;;0;Each;1.00;'-605.000;0;admin;0;Imagem-WhatsApp-2023-12-13-__s-23.05.56_26c4f5cf.jpg;;
"Conjunto Colar e Brincos c/ trevo e brilhantes dourado";PRO0043;1;;Imortalis;Joias;;Conjuntos;;;;;;"01-02-2024 09:41:18";marcop;"23-02-2024 15:47:28";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4936.JPEG;;
"Pulseira c/ Arvores da Vida Pequenas";PRO0044;1;;Imortalis;Joias;;Pulseiras;;;;;;"01-02-2024 15:32:09";marcop;"26-08-2024 17:40:10";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4977.JPEG;;
"Brincos Standard Pérola Branca Simples Dourado";PRO0045;1;;Imortalis;Joias;;Brincos;;;;;;"01-02-2024 15:37:33";marcop;"13-02-2024 18:23:04";marcop;0;;;4.99;;;0;Each;1.00;2.000;0;admin;0;IMG_4965.JPEG;;
"Prendedor Gravata";PRO0046;1;;Imortalis;Joias;;Diversos;;;;;;"01-02-2024 18:30:02";marcop;"05-02-2024 15:51:18";marcop;0;;;11.99;;;0;Each;1.00;1000000.000;0;marcop;0;IMG_5015.JPEG;;
"Portes Envio Fam Art";PRO0047;1;;"Fam Art";Outros;;Portes;;;;;;"01-02-2024 18:53:05";marcop;"05-02-2024 15:39:50";marcop;0;;;;;;0;Each;1.00;3.000;0;marcop;0;;;
"Portes Envio Imortalis";PRO0048;1;;Imortalis;Joias;;Portes;;;;;;"01-02-2024 18:53:23";marcop;"05-02-2024 15:51:36";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;;;
"Diversos Fam Art";PRO0049;1;;"Fam Art";Outros;;Diversos;;;;;;"01-02-2024 19:11:40";marcop;"28-07-2026 09:42:48";marcop;0;;;;;;0;Each;1.00;'-559.000;0;marcop;0;;;
"Diversos Imortalis";PRO0050;1;;Imortalis;Joias;;Diversos;;;;;;"01-02-2024 19:12:31";marcop;"05-02-2024 15:51:18";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;;;
"Corte / Gravação";PRO0051;1;;"Fam Art";Outros;;"Gravação / Corte";;;;;;"01-02-2024 20:03:35";marcop;"01-07-2026 16:11:47";marcop;0;;;0.8;;;0;Minuto;1.00;979954.000;0;marcop;0;;;
Pipos;PRO0052;1;;"Fam Art";Outros;;"Gravação / Corte";;;;;;"01-02-2024 20:04:55";marcop;"19-03-2026 20:12:16";marcop;0;;;10;;;0;Each;1.00;999914.000;0;marcop;0;;;
"Chaveiro c/ suporte cartas";PRO0053;1;;"Fam Art";Outros;;Chaveiro;;;;;;"01-02-2024 20:10:03";marcop;"22-09-2025 16:02:30";marcop;0;;;13;;;0;Each;1.00;999995.000;0;marcop;0;Chaveiro.png;;
"Bola de Natal Modelo 4";PRO0054;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"01-02-2024 20:17:45";marcop;"10-12-2025 20:14:09";marcop;0;;;3.2;;;0;Each;1.00;999972.000;0;admin;0;M4.png;;
"Colar Premium c/ Retângulo";PRO0055;1;;Imortalis;Joias;;Colares;;;;;;"01-02-2024 21:46:37";marcop;"06-08-2024 15:37:42";marcop;0;;;14.99;;;0;Each;1.00;'-5.000;0;marcop;0;ccolar.png;;
Puzzle;PRO0056;1;;"Fam Art";"Eventos Diversos";;"Dia dos Namorados";;;;;;"01-02-2024 21:51:06";marcop;"21-04-2026 22:00:43";marcop;500;400;3;;;;0;Each;1.00;999991.000;0;marcop;0;puzzle.png;;
"Arco 250mm";PRO0057;1;;"Fam Art";Outros;;"Gravação / Corte";;;;"ne do crochê";;"01-02-2024 22:51:37";marcop;"05-02-2024 15:43:42";marcop;250;250;3;3;;;0;Each;1.00;999996.000;0;marcop;0;;;
"Corte Nomes";PRO0058;1;;"Fam Art";Outros;;"Gravação / Corte";;;;"ne do crochê";;"01-02-2024 22:53:07";marcop;"03-09-2025 20:26:55";marcop;250;250;0.75;1.1;;;0;Each;1.00;999967.000;0;marcop;0;;;
"Cartão Inox";PRO0059;1;;"Fam Art";Outros;;"Cartões Visita";;;;;;"01-02-2024 23:00:05";marcop;"05-02-2024 15:45:49";marcop;0;;;5;;;0;Each;1.00;999998.000;0;marcop;0;;;
"Bola de Natal Modelo 1";PRO0060;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"01-02-2024 23:12:34";marcop;"23-12-2025 16:08:13";josep;0;;;2.3;;;0;Each;1.00;999670.000;0;admin;0;M1.png;;
"Bola de Natal Modelo 3";PRO0061;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"01-02-2024 23:13:10";marcop;"20-12-2025 17:52:09";josep;0;;;2.55;;;0;Each;1.00;999922.000;0;admin;0;M3.png;;
"Bola de Natal Modelo 5";PRO0062;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"01-02-2024 23:13:26";marcop;"20-12-2025 17:29:47";josep;0;;;3.5;;;0;Each;1.00;999895.000;0;admin;0;M5.png;;
"Bola de Natal Modelo 1 Animais";PRO0063;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"01-02-2024 23:13:41";marcop;"04-12-2025 12:49:14";marcop;0;;;2.55;;;0;Each;1.00;999974.000;0;admin;0;Animais.png;;
"Bola de Natal Modelo 1 Cores";PRO0064;1;;"Fam Art";"Eventos Diversos";;Natal;;;;;;"01-02-2024 23:15:30";marcop;"04-02-2024 17:59:27";marcop;0;;;3;;;0;Each;1.00;999969.000;0;admin;0;;;
"Nome Preto 1000mm";PRO0065;1;;"Fam Art";Outros;;"Gravação / Corte";;;;;;"01-02-2024 23:27:19";marcop;"05-02-2024 15:41:27";marcop;1000;;3;20;;;0;Each;1.00;999997.000;0;marcop;0;;;
"Quadro C/ Gravação";PRO0066;1;;"Fam Art";Outros;;Decoração;;;;;;"01-02-2024 23:27:54";marcop;"09-06-2025 16:44:32";marcop;500;300;3;;;;0;Each;1.00;999991.000;0;marcop;0;Imagem-WhatsApp-2023-12-11-__s-21.40.26_c0324dbd.jpg;;
"Arvore da Vida Silhueta";PRO0067;1;;"Fam Art";Outros;;Decoração;;;;;;"01-02-2024 23:34:08";marcop;"03-07-2024 19:32:27";marcop;0;;3;16;;;0;Each;1.00;999996.000;0;marcop;0;Arvore-da-Vida.png;;
"Certificados A4";PRO0068;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"01-02-2024 23:43:58";marcop;"05-02-2024 15:37:38";marcop;0;;;17;;;0;Each;1.00;999995.000;0;marcop;0;Imagem-WhatsApp-2024-01-08-__s-18.20.19_70311ed6.jpg;;
"Colar c/ chapa signo";PRO0069;1;;Imortalis;Joias;;Colares;;;;;;"02-02-2024 16:20:24";marcop;"04-02-2024 17:09:00";marcop;0;;;7.99;;;0;Each;1.00;999998.000;0;marcop;0;Captura-de-ecr__-2024-02-02-161933.png;;
"Pulseira c/ chapa signo";PRO0070;1;;Imortalis;Joias;;Pulseiras;;;;;;"02-02-2024 16:23:23";marcop;"05-02-2024 19:52:16";marcop;0;;;7.99;;;0;Each;1.00;999999.000;0;admin;0;Captura-de-ecr__-2024-02-02-162228.png;;
"Pulseira c/ coração e brilhantes prateada";PRO0071;1;;Imortalis;Joias;;Pulseiras;;;;;;"02-02-2024 16:26:55";marcop;"04-02-2024 17:07:49";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;Captura-de-ecr__-2024-02-02-162551.png;;
"Pulseira c/ 5 trevos 1 c/ Brilhantes Dourada";PRO0072;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:00:48";marcop;"26-08-2024 17:40:05";marcop;0;;;8.99;;;0;Each;1.00;'-1.000;0;admin;0;IMG_4983.JPEG;;
"Pulseira c/ Numeração Romana Dourada";PRO0073;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:02:10";marcop;"26-04-2025 13:19:52";marcop;0;;;7.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4981.JPEG;;
"Pulseira prateada c/ árvore da vida";PRO0074;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:06:18";marcop;"13-02-2024 17:49:37";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4984.JPEG;;
"Pulseira c/ coração e brilhantes dourada";PRO0075;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:19:12";marcop;"13-02-2024 17:48:54";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4987.JPEG;;
"Pulseira c/ 5 Trevos Pretos";PRO0076;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:19:59";marcop;"04-12-2025 15:04:05";marcop;0;;;10.99;10.99;;0;Each;1.00;5.000;0;admin;0;IMG_4989.JPEG;;
"Pulseira Homem M1";PRO0077;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:21:03";marcop;"13-02-2024 17:52:54";marcop;0;;;6.5;10.99;;0;Each;1.00;2.000;0;admin;0;IMG_4997.JPEG;;
"Pulseira Homem M2 Chapa Gravada";PRO0078;1;;Imortalis;Joias;;Pulseiras;;;;;;"03-02-2024 16:21:44";marcop;"13-02-2024 17:54:30";marcop;0;;;7.99;10.99;;0;Each;1.00;4.000;0;admin;0;IMG_4998.JPEG;;
"Colar c/ trevos pretos duplo";PRO0079;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:25:02";marcop;"13-02-2024 18:01:09";marcop;0;;;15.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4951.JPEG;;
"Colar c/ trevo preto";PRO0080;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:29:01";marcop;"08-04-2025 19:01:22";marcop;0;;;8.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4953.JPEG;;
"Colar c/ trevo branco";PRO0081;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:29:18";marcop;"17-12-2025 19:01:55";josep;0;;;8.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4952.JPEG;;
"Conjunto Colar e Brincos arvore da vida prateado";PRO0082;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:44:29";marcop;"13-02-2024 18:08:34";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4920.JPEG;;
"Conjunto Colar e Brincos coração prateado";PRO0083;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:45:29";marcop;"21-03-2024 22:07:24";marcop;0;;;7.99;;;0;Each;1.00;'-1.000;0;admin;0;IMG_4913.JPEG;;
"Conjunto Colar e Brincos olho turco c/ brilhantes prateado";PRO0084;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:47:31";marcop;"13-02-2024 18:07:57";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4926.JPEG;;
"Conjunto Colar e Brincos infinito c/ brilhantes dourado";PRO0085;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:48:14";marcop;"13-02-2024 18:07:35";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4905.JPEG;;
"Conjunto Colar e Brincos Mão de Fátima Dourado";PRO0086;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:49:09";marcop;"13-02-2024 18:07:22";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4923.JPEG;;
"Conjunto Colar e Brincos Infinito Dourado";PRO0087;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:50:18";marcop;"13-02-2024 18:07:07";marcop;0;;;7.5;;;0;Each;1.00;1.000;0;admin;0;IMG_4909.JPEG;;
"Conjunto Colar e Brincos Infinito Prateado";PRO0088;1;;Imortalis;Joias;;Conjuntos;;;;;;"03-02-2024 16:50:40";marcop;"13-02-2024 18:05:58";marcop;0;;;7.5;;;0;Each;1.00;1.000;0;admin;0;IMG_4910.JPEG;;
"Colar c/ Bola Azul Dourado";PRO0089;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:54:26";marcop;"17-12-2025 20:35:30";marcop;0;;;8.99;;;0;Each;1.00;0.000;0;admin;0;IMG_4945.JPEG;;
"Colar c/ Bola Verde Dourado";PRO0090;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:54:47";marcop;"13-02-2024 18:00:07";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4946.JPEG;;
